term_id,GEOID,county_name,state_name,slug,state_id,state_term_id,census_2018_pop,pop_density_land,area_total,area_land,area_water,housing_units,pop_density_housing
1827,"0500000US12051","Hendry County","Florida","hendry-county-fl","FL",1405,41556,34,1190,37.25,1152.75,14564,12.6
1828,"0500000US12053","Hernando County","Florida","hernando-county-fl","FL",1405,190865,365.6,589.02,116.48,472.54,84504,178.8
1829,"0500000US12055","Highlands County","Florida","highlands-county-fl","FL",1405,105424,97.2,1106.03,89.42,1016.61,55386,54.5
1830,"0500000US12057","Hillsborough County","Florida","hillsborough-county-fl","FL",1405,1436888,1204.9,1265.76,245.55,1020.21,536092,525.5
1831,"0500000US12059","Holmes County","Florida","holmes-county-fl","FL",1405,19477,41.6,489.05,10.27,478.78,8641,18
1832,"0500000US12061","Indian River County","Florida","indian-river-county-fl","FL",1405,157413,274.5,617.01,114.13,502.87,76346,151.8
1833,"0500000US12063","Jackson County","Florida","jackson-county-fl","FL",1405,48305,54.2,954.56,36.8,917.76,21003,22.9
1834,"0500000US12065","Jefferson County","Florida","jefferson-county-fl","FL",1405,14288,24.7,636.54,38.44,598.1,6632,11.1
1835,"0500000US12067","Lafayette County","Florida","lafayette-county-fl","FL",1405,8732,16.3,547.91,4.5,543.41,3328,6.1
1836,"0500000US12069","Lake County","Florida","lake-county-fl","FL",1405,356495,316.6,1156.96,218.58,938.38,144996,154.5
1837,"0500000US12071","Lee County","Florida","lee-county-fl","FL",1405,754610,788.7,1212.46,427.95,784.51,371099,473
1838,"0500000US12073","Leon County","Florida","leon-county-fl","FL",1405,292502,413.1,701.79,34.94,666.85,124136,186.2
1839,"0500000US12075","Levy County","Florida","levy-county-fl","FL",1405,40770,36.5,1412.79,294.59,1118.21,20123,18
1840,"0500000US12077","Liberty County","Florida","liberty-county-fl","FL",1405,8457,10,843.12,7.56,835.56,3357,4
1841,"0500000US12079","Madison County","Florida","madison-county-fl","FL",1405,18529,27.6,715.68,19.74,695.95,8481,12.2
1842,"0500000US12081","Manatee County","Florida","manatee-county-fl","FL",1405,394855,434.5,892.68,149.75,742.93,172690,232.4
1843,"0500000US12083","Marion County","Florida","marion-county-fl","FL",1405,359977,209.1,1662.61,78.06,1584.55,164050,103.5
1844,"0500000US12085","Martin County","Florida","martin-county-fl","FL",1405,160912,269.2,752.83,209.36,543.46,78131,143.8
1845,"0500000US12086","Miami-Dade County","Florida","miami-dade-county-fl","FL",1405,2761581,1315.5,2431.18,533.47,1897.72,989435,521.4
1846,"0500000US12087","Monroe County","Florida","monroe-county-fl","FL",1405,75027,74.3,3737.52,2754.24,983.28,52764,53.7
1847,"0500000US12089","Nassau County","Florida","nassau-county-fl","FL",1405,85832,113,725.92,77.28,648.64,35009,54
